Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download),,,,,,,,
Download Date: 12/31/2022,,,,,,,,
,,,,,,,,
Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) ,,,,,,,,
"Location (Lat/Lon of 4-km Grid Cell Center): 30.0625 North,70.8125 East ",,,,,,,,
Variable List: ,,,,,,,,
tmax: tmax (Maximum Temperature),,,,,,,,
tmin: tmin (Minimum Temperature),,,,,,,,
ppt: ppt (Precipitation),,,,,,,,
soil: soil (Soil Moisture),,,,,,,,
ws: ws (Wind Speed),,,,,,,,
q: q (Runoff),,,,,,,,
********************************************************,,,,,,,,
Year,Month,tmax(degC),tmin(degC),ppt(mm),soil(mm),ws(mps),q(mm),Flood
1967,7,39.37,27.8,38.5,0.4,1.85,1.9,FALSE
1967,8,36.78,26.49,102.7,0.4,1.14,5.1,FALSE
1967,9,36.76,24.29,7.6,0.4,0.92,0.4,FALSE
1967,10,34.58,16.48,6.2,0.3,0.87,0.3,FALSE
1967,11,27.98,10.88,1.7,0.3,0.87,0.1,FALSE
1967,12,21.76,4.18,36.7,0.3,0.97,1.8,FALSE
1968,1,19.19,3.8,11.8,0.3,0.6,0.6,FALSE
1968,2,21.67,6.03,22.7,0.3,0.86,1.1,FALSE
1968,3,30.29,13.22,6.4,0.3,1.26,0.3,FALSE
1968,4,35.8,18.87,0.9,0.3,1.7,0,FALSE
1968,5,38.2,21.13,10,0.3,2.45,0.5,FALSE
1968,6,41.69,26.86,6.2,0.3,2.53,0.3,FALSE
1968,7,39.53,27.47,19.2,0.3,1.41,1,FALSE
1968,8,38.15,26.66,14.8,0.3,1.18,0.7,FALSE
1968,9,38.23,23.2,0,0.3,1.54,0,FALSE
1968,10,34.74,16.83,1.6,0.3,0.93,0.1,FALSE
1968,11,29.4,9,0.1,0.3,0.72,0,FALSE
1968,12,22.51,4.53,10.9,0.3,0.82,0.5,FALSE
1969,1,21.28,5.22,1.5,0.3,1.18,0.1,FALSE
1969,2,23.28,8.06,12.3,0.3,1.2,0.6,FALSE
1969,3,32.47,16.73,6.9,0.3,1.4,0.3,FALSE
1969,4,35.05,18.63,5.3,0.3,2.3,0.3,FALSE
1969,5,39.05,22.41,8.2,0.3,2.16,0.4,FALSE
1969,6,41.96,27.99,11.7,0.3,1.94,0.6,FALSE
1969,7,40,27.84,91.8,0.3,1.84,4.6,FALSE
1969,8,38,26.71,15.2,0.3,1.38,0.8,FALSE
1969,9,36.85,24.18,5.8,0.3,1.69,0.3,FALSE
1969,10,36.12,18.38,6.8,0.3,1.14,0.3,FALSE
1969,11,29.14,11.02,0,0.3,0.56,0,FALSE
1969,12,24.4,5.19,0.1,0.3,0.58,0,FALSE
1970,1,21.2,4.91,5.9,0.3,0.9,0.3,FALSE
1970,2,23.59,8.62,19.5,0.3,1.21,1,FALSE
1970,3,28.62,12.82,5.3,0.3,1.47,0.3,FALSE
1970,4,37.3,20.62,1.7,0.3,1.64,0.1,FALSE
1970,5,41.89,25.35,1.3,0.3,2.37,0.1,FALSE
1970,6,41.52,27.49,3.6,0.3,2.56,0.2,FALSE
1970,7,39.78,27.01,45.6,0.3,1.72,2.3,FALSE
1970,8,38.06,27.26,91.2,0.3,1.22,4.6,FALSE
1970,9,36.76,24.39,24.9,0.3,1.13,1.2,FALSE
1970,10,35.83,18.62,0,0.3,0.89,0,FALSE
1970,11,29.06,8.66,0,0.3,0.43,0,FALSE
1970,12,23.68,4.82,0.2,0.3,0.36,0,FALSE
1971,1,19.97,3.58,3.6,0.3,0.65,0.2,FALSE
1971,2,24.94,7.69,0.7,0.3,0.97,0,FALSE
1971,3,30.82,13.35,0.8,0.3,0.99,0,FALSE
1971,4,38.08,20.99,1.7,0.3,1.7,0.1,FALSE
1971,5,41.66,25.12,6.6,0.3,1.83,0.3,FALSE
1971,6,40.2,27.5,22.6,0.3,2.22,1.1,FALSE
1971,7,38.18,27.2,42,0.3,1.32,2.1,FALSE
1971,8,37.34,26.68,64,0.3,1.29,3.2,FALSE
1971,9,36.3,23.04,24.6,0.3,0.7,1.2,FALSE
1971,10,33.54,16.67,0.2,0.3,1.03,0,FALSE
1971,11,29.36,10.46,0.1,0.3,0.6,0,FALSE
1971,12,24.28,5.31,1.1,0.3,1.43,0.1,FALSE
1972,1,21.05,3.56,9.9,0.3,2.18,0.5,FALSE
1972,2,20.67,5.05,2.7,0.3,1.4,0.1,FALSE
1972,3,30.24,13.01,2.3,0.3,1.49,0.1,FALSE
1972,4,34.8,17.95,7.1,0.3,1.83,0.4,FALSE
1972,5,40.69,22.85,2.3,0.3,2.5,0.1,FALSE
1972,6,42.08,26.45,14.5,0.3,2.06,0.7,FALSE
1972,7,39.33,26.66,38.5,0.3,1.58,1.9,FALSE
1972,8,37.11,26.36,15.4,0.3,1.81,0.8,FALSE
1972,9,37,21.77,5.5,0.2,1.14,0.3,FALSE
1972,10,34.4,16.16,0.2,0.2,0.98,0,FALSE
1972,11,30.2,10.3,1,0.2,0.56,0.1,FALSE
1972,12,22.91,5.04,17,0.2,1.39,0.9,FALSE
1973,1,20.32,3.4,1.4,0.2,1.55,0.1,FALSE
1973,2,25.37,9,5.3,0.2,1.39,0.3,FALSE
1973,3,29.53,12.7,2.2,0.2,1.82,0.1,FALSE
1973,4,37.25,19.55,0.9,0.2,2.16,0,FALSE
1973,5,41.68,24.03,12.9,0.2,2.74,0.6,FALSE
1973,6,41.87,28.47,0.3,0.2,3.27,0,FALSE
1973,7,38.01,26.64,65.4,0.2,2.6,3.3,FALSE
1973,8,36.72,25.97,144.1,0.2,2.62,7.2,TRUE
1973,9,37.88,24.18,14.4,0.2,2.66,0.7,TRUE
1973,10,34.47,17.36,0,0.2,1.84,0,FALSE
1973,11,29.09,8.89,0,0.2,0.74,0,FALSE
1973,12,21.61,4.14,9.8,0.2,2.06,0.5,FALSE
1974,1,21.36,3.23,4.8,0.2,1.55,0.2,FALSE
1974,2,21.49,5.64,8.4,0.2,1.39,0.4,FALSE
1974,3,32.09,15.02,2.1,0.2,1.82,0.1,FALSE
1974,4,37.37,20.38,7.3,0.2,2.16,0.4,FALSE
1974,5,40.49,23.49,5.2,0.2,2.74,0.3,FALSE
1974,6,40.36,25.93,9.5,0.2,3.27,0.5,FALSE
1974,7,39.44,27.38,63.3,0.2,2.6,3.2,FALSE
1974,8,38.52,27.03,7.5,0.2,2.62,0.4,FALSE
1974,9,38.06,23.63,2.7,0.2,2.66,0.1,FALSE
1974,10,32.78,16.76,0.1,0.2,1.84,0,FALSE
1974,11,28.34,8.54,0,0.2,1.63,0,FALSE
1974,12,21.36,3.99,5.6,0.2,1.66,0.3,FALSE
1975,1,19.81,4.08,5.9,0.2,1.7,0.3,FALSE
1975,2,22.13,6.62,21,0.2,1.91,1,FALSE
1975,3,28.5,11.97,4.6,0.2,2.1,0.2,FALSE
1975,4,35.28,18.41,9.9,0.2,2.39,0.5,FALSE
1975,5,40.83,23.79,0.4,0.2,3.59,0,FALSE
1975,6,40.1,26.07,45.7,0.2,3.7,2.3,FALSE
1975,7,37.8,26.33,82.9,0.2,2.32,4.1,FALSE
1975,8,37.03,26.84,60.4,0.2,2.39,3,FALSE
1975,9,35.64,24.78,33.5,0.2,2.88,1.7,FALSE
1975,10,33.96,19.35,0,0.2,2.58,0,FALSE
1975,11,28.2,8,0,0.2,2.88,0,FALSE
1975,12,24.06,5.2,9.3,0.2,2.58,0.5,FALSE
1976,1,21.49,5.66,5.1,0.2,2.1,0.3,FALSE
1976,2,23.14,8.82,8.7,0.2,2.14,0.4,FALSE
1976,3,27.35,12.52,19,0.2,2.95,1,FALSE
1976,4,34.7,18.41,5.7,0.2,3.42,0.3,FALSE
1976,5,40.72,23.59,2.6,0.2,3.34,0.1,FALSE
1976,6,39.52,26.39,37,0.2,3.13,1.8,FALSE
1976,7,38.86,27.6,52.7,0.2,1.87,2.6,TRUE
1976,8,36.01,25.72,49.4,0.2,1.89,2.5,FALSE
1976,9,34.82,21.73,38.7,0.2,1.58,1.9,TRUE
1976,10,34.54,17.68,2.2,0.2,1.22,0.1,FALSE
1976,11,28.1,9.99,0.1,0.2,1.02,0,FALSE
1976,12,22.66,4.59,0.4,0.2,1.01,0,FALSE
1977,1,20.2,3.58,20.1,0.2,1.37,1,FALSE
1977,2,24.64,8.47,0.1,0.2,1.6,0,FALSE
1977,3,33.02,14.75,0.7,0.2,1.77,0,FALSE
1977,4,35.79,19.63,9.7,0.2,2.37,0.5,FALSE
1977,5,39.12,23.02,5.5,0.2,3,0.3,FALSE
1977,6,40.04,26.51,24.5,0.2,2.54,1.2,FALSE
1977,7,38.41,28.15,32.4,0.2,2.15,1.6,FALSE
1977,8,37.59,26.6,25.9,0.2,1.54,1.3,FALSE
1977,9,36.09,23.89,21.9,0.2,1.78,1.1,FALSE
1977,10,36.7,19.1,0.1,0.2,1.45,0,FALSE
1977,11,29.77,12.67,1.1,0.2,1.27,0.1,FALSE
1977,12,24.33,6.52,3.1,0.2,0.77,0.2,FALSE
1978,1,20.49,3.57,10.4,0.2,1.56,0.5,FALSE
1978,2,22.84,8.32,4.7,0.2,1.23,0.2,FALSE
1978,3,27.44,12.3,14,0.2,1.7,0.7,FALSE
1978,4,36.08,19.38,3.7,0.2,2.48,0.2,FALSE
1978,5,42.91,25.57,0,0.2,2.6,0,FALSE
1978,6,41.69,28.46,3.9,0.2,2.33,0.2,FALSE
1978,7,36.61,26.15,154.3,0.2,1.91,7.7,FALSE
1978,8,37.44,26.64,23.9,0.2,1.89,1.2,FALSE
1978,9,36.44,24.04,7,0.2,1.35,0.3,FALSE
1978,10,35.21,17.7,0,0.2,1.3,0,FALSE
1978,11,28.11,10,1.4,0.2,1.27,0.1,FALSE
1978,12,24.02,5.55,1.3,0.2,0.95,0.1,FALSE
1979,1,21.49,5.17,36.7,0.2,0.85,1.8,FALSE
1979,2,22.79,8.32,28.2,0.2,1.41,1.4,FALSE
1979,3,27.01,11.07,25,0.2,1.07,1.2,FALSE
1979,4,37.13,20.25,3.5,0.2,1.59,0.2,FALSE
1979,5,38.27,21.5,4.2,0.2,2.1,0.2,FALSE
1979,6,42.05,27.22,0.7,0.2,2.33,0,FALSE
1979,7,40.07,28.3,13,0.2,2,0.6,FALSE
1979,8,37.46,25.67,42.6,0.2,1.58,2.1,FALSE
1979,9,37.08,22.45,10.5,0.2,0.93,0.5,FALSE
